model,epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_f1_macro,learning_rate
CNN-A,1,1.1212794080461774,0.5983571428571428,0.22438797012964884,0.9303333333333333,0.9316467642915311,0.001
CNN-A,2,0.3021681992581913,0.8986428571428572,0.20027732678254445,0.925,0.924641333400493,0.001
CNN-A,3,0.17544845340081625,0.9397142857142857,0.10313730398813883,0.965,0.9641517568386886,0.001
CNN-A,4,0.1173153279445001,0.961,0.028870290003716947,0.9953333333333333,0.9953269262414507,0.001
CNN-A,5,0.08665335073428494,0.9707857142857143,0.012685867550472418,0.9973333333333333,0.9973213978594055,0.001
CNN-A,6,0.06506120688308563,0.9803571428571428,0.01461498520274957,0.997,0.9970002587164306,0.001
CNN-A,7,0.0591668390690216,0.9825714285714285,0.009449987858378639,0.996,0.9959968125299344,0.001
CNN-A,8,0.05416549200604537,0.9827857142857143,0.021636019211262465,0.9936666666666667,0.9936790679659833,0.001
CNN-A,9,0.05429675664885768,0.9842142857142857,0.006987165598509213,0.9983333333333333,0.9983322036539596,0.001
CNN-A,10,0.039603182866703716,0.9868571428571429,0.002893788716290146,0.9993333333333333,0.9993333259258435,0.001
CNN-A,11,0.03643416019196489,0.9897142857142858,0.01666039477971693,0.994,0.9939932930038925,0.001
CNN-A,12,0.03653569952032662,0.9887857142857143,0.024612692777688305,0.9893333333333333,0.9893167630866561,0.001
CNN-A,13,0.032480447229280666,0.9897142857142858,0.004272865914468032,0.998,0.9979998833252927,0.001
CNN-A,14,0.02706380622107203,0.9912142857142857,0.01860223432878653,0.9933333333333333,0.9933294787799737,0.0005
CNN-A,15,0.01594529139394373,0.9952857142857143,0.0043903665262041616,0.9986666666666667,0.9986666407401131,0.0005
CNN-A,16,0.013354307986047517,0.9962142857142857,0.0007303699923019546,1.0,1.0,0.0005
CNN-A,17,0.01001063747178497,0.9970714285714286,0.002175274866904753,0.9986666666666667,0.9986649572715102,0.0005
CNN-A,18,0.014404740061378107,0.9957857142857143,0.00031558168158032153,1.0,1.0,0.0005
CNN-A,19,0.01144394783561646,0.9972857142857143,0.0005328392509448653,1.0,1.0,0.0005
CNN-A,20,0.012045853488338512,0.9966428571428572,0.0013238442363217473,1.0,1.0,0.0005
CNN-A,21,0.009953302402373602,0.9971428571428571,0.0012255401944469971,0.9996666666666667,0.9996666657407381,0.0005
CNN-A,22,0.01020025084261267,0.9967857142857143,0.0007546049305383348,1.0,1.0,0.00025
CNN-A,23,0.005398960919497767,0.9985714285714286,0.0003803567183058476,1.0,1.0,0.00025
CNN-A,24,0.005468478271334399,0.9983571428571428,0.00014541753546412414,1.0,1.0,0.00025
CNN-A,25,0.006479275975711062,0.9985,0.0016439455640211236,0.9993333333333333,0.9993333314814763,0.00025
CNN-A,26,0.006012713262279119,0.9982857142857143,0.0032693081233349706,0.9983333333333333,0.9983310228588355,0.00025
CNN-A,27,0.004322119414386439,0.9987857142857143,0.00031009421367101216,1.0,1.0,0.00025
CNN-A,28,0.007681804951976769,0.9981428571428571,0.0003433609957864974,1.0,1.0,0.000125
CNN-A,29,0.0036678105759679704,0.9990714285714286,0.0003122240534357843,1.0,1.0,0.000125
CNN-A,30,0.005036574821287234,0.9987857142857143,0.002551177564028573,0.999,0.998999974999375,0.000125
