model,epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_f1_macro,learning_rate
CNN-B,1,1.6182183250699724,0.3980714285714286,0.35446223060290016,0.9083333333333333,0.9047721753121325,0.001
CNN-B,2,0.48145582008361815,0.8277857142857142,0.09475460430979729,0.9766666666666667,0.9765586405610673,0.001
CNN-B,3,0.264492249663387,0.9109285714285714,0.04161989686886469,0.987,0.9868706575980479,0.001
CNN-B,4,0.18046594456902573,0.9418571428571428,0.04420710786432028,0.9873333333333333,0.9872945678870646,0.001
CNN-B,5,0.14114312602260284,0.9500714285714286,0.016779893979430197,0.9976666666666667,0.9976655407097426,0.001
CNN-B,6,0.11051774480466597,0.9615,0.01593716564308852,0.994,0.9940038209460875,0.001
CNN-B,7,0.09127621646784247,0.9704285714285714,0.02891337098646909,0.984,0.9839053995149266,0.001
CNN-B,8,0.08401081707168903,0.9728571428571429,0.010070140280062333,0.9966666666666667,0.9966663980727652,0.001
CNN-B,9,0.07619925548721637,0.9765714285714285,0.008776112734805792,0.9976666666666667,0.9976664657207361,0.001
CNN-B,10,0.0765109923928976,0.9752857142857143,0.004586001052521169,0.9993333333333333,0.9993333259258435,0.001
CNN-B,11,0.05878145645931363,0.9809285714285715,0.003978106449164139,0.9986666666666667,0.9986666407401131,0.001
CNN-B,12,0.048153894071866356,0.9845,0.007565791699259232,0.9976666666666667,0.9976663490308404,0.001
CNN-B,13,0.05584610041257526,0.9814285714285714,0.003694750750553794,0.999,0.9989999972222146,0.001
CNN-B,14,0.04083471620076203,0.9862857142857143,0.0022429305696471903,0.9996666666666667,0.9996666657407381,0.001
CNN-B,15,0.046606681401043064,0.9852857142857143,0.00505717847973574,0.9983333333333333,0.998333291665625,0.001
CNN-B,16,0.043784967967176014,0.9867142857142858,0.0038556766922896108,0.9996666666666667,0.9996666657407381,0.001
CNN-B,17,0.042200788423419,0.9879285714285714,0.003727043603779748,0.9993333333333333,0.9993333259258437,0.001
CNN-B,18,0.04291856472433678,0.9865714285714285,0.0018049777836616461,0.9996666666666667,0.9996666657407381,0.001
CNN-B,19,0.03627098965586629,0.9887857142857143,0.005661337598091147,0.9976666666666667,0.9976663490308404,0.001
CNN-B,20,0.03986452608140618,0.9884285714285714,0.0008352040291889958,1.0,1.0,0.001
CNN-B,21,0.032956741820804644,0.9905714285714285,0.0025622194193225976,0.999,0.9989994388780399,0.001
CNN-B,22,0.03023629564031892,0.9915,0.0006617065614506524,0.9996666666666667,0.9996666657407381,0.001
CNN-B,23,0.03341038753827368,0.9891428571428571,0.0009805144800532919,1.0,1.0,0.001
CNN-B,24,0.0318467851983982,0.9895714285714285,0.002147064449580891,1.0,1.0,0.001
CNN-B,25,0.0353359344504757,0.9904285714285714,0.002139311980262088,1.0,1.0,0.001
CNN-B,26,0.02525440620727646,0.9914285714285714,0.0006951391100592446,1.0,1.0,0.0005
CNN-B,27,0.014526918787313792,0.9957142857142857,0.00023088445780012988,1.0,1.0,0.0005
CNN-B,28,0.013803404010108872,0.9957857142857143,0.001517465064956923,0.999,0.998999974999375,0.0005
CNN-B,29,0.01141225809982695,0.9971428571428571,0.0004503120876870526,1.0,1.0,0.0005
CNN-B,30,0.012126179665936173,0.9961428571428571,0.000355313216509785,1.0,1.0,0.0005
