model,epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_f1_macro,learning_rate
CNN-C,1,1.1482874423095157,0.6001428571428571,0.11881345993280411,0.9696666666666667,0.9697309817016884,0.001
CNN-C,2,0.373615035533905,0.8737857142857143,0.06994194110731283,0.979,0.9789133344922266,0.001
CNN-C,3,0.24843522765380996,0.9159285714285714,3.6909662748972574,0.487,0.3663392058210075,0.001
CNN-C,4,0.19086267584562303,0.9342142857142857,0.020437549830414355,0.9923333333333333,0.9923278960608407,0.001
CNN-C,5,0.15104931692779064,0.9518571428571428,0.008305747595033608,0.9983333333333333,0.998333314768157,0.001
CNN-C,6,0.14859554737220917,0.9533571428571429,0.01247877372180422,0.9956666666666667,0.9956655549679485,0.001
CNN-C,7,0.10805153113390718,0.9639285714285715,0.11979037184019883,0.967,0.9668212879994673,0.001
CNN-C,8,0.09767486857045775,0.9706428571428571,0.3105912947009007,0.921,0.9187705453354464,0.001
CNN-C,9,0.10670457897894084,0.9661428571428572,0.0031569660178308065,0.999,0.9989999916665818,0.001
CNN-C,10,0.0857972198410758,0.9752142857142857,0.0029321298025994716,0.9993333333333333,0.9993333259258437,0.001
CNN-C,11,0.07040037584384637,0.9777142857142858,0.00815412243005388,0.997,0.9969995249157027,0.001
CNN-C,12,0.09019586746501071,0.9752142857142857,0.002527835502619079,0.9993333333333333,0.9993333324074047,0.001
CNN-C,13,0.0704164419635199,0.9793571428571428,0.0018233309174138413,0.9993333333333333,0.9993333259258435,0.001
CNN-C,14,0.06483979251237386,0.9791428571428571,0.0012081977490985688,0.9993333333333333,0.9993333259258437,0.001
CNN-C,15,0.06803654292930982,0.9799285714285715,0.002299816524611742,0.999,0.998999998148143,0.001
CNN-C,16,0.0595267809758495,0.9835,0.004954076507827267,0.9993333333333333,0.9993333259258437,0.001
CNN-C,17,0.054318169641508054,0.9864285714285714,0.004925283512508031,0.9993333333333333,0.9993333314814763,0.001
CNN-C,18,0.04856054932843628,0.9857142857142858,0.0005817834960992817,1.0,1.0,0.001
CNN-C,19,0.049543891516979785,0.9856428571428572,0.06117352563539559,0.9796666666666667,0.9794543040706862,0.001
CNN-C,20,0.053304222102676116,0.9850714285714286,0.007190712697399552,0.9986666666666667,0.9986666407401131,0.001
CNN-C,21,0.044663012125629134,0.9865,0.0005908837420783849,0.9996666666666667,0.9996666657407381,0.001
CNN-C,22,0.054315126028743436,0.9837142857142858,0.0264017146826518,0.9926666666666667,0.9926603010323625,0.0005
CNN-C,23,0.025631440896335074,0.9924285714285714,0.0008328157871251279,0.9996666666666667,0.9996666657407381,0.0005
CNN-C,24,0.021147037295957228,0.9942857142857143,0.00021979849024425372,1.0,1.0,0.0005
CNN-C,25,0.017087084191239096,0.9955,1.3597896158861053e-05,1.0,1.0,0.0005
CNN-C,26,0.01816610891549499,0.9946428571428572,0.00030080172012287676,1.0,1.0,0.0005
CNN-C,27,0.02120672635985102,0.9942857142857143,8.017410360909593e-05,1.0,1.0,0.0005
CNN-C,28,0.014570470894622434,0.9955714285714286,6.607947033196145e-05,1.0,1.0,0.0005
CNN-C,29,0.01260260846152544,0.9967857142857143,1.1162969695568847e-05,1.0,1.0,0.0005
CNN-C,30,0.026049478818624006,0.9931428571428571,9.178293141561274e-05,1.0,1.0,0.0005
